"Guid","Description","OpportunityId","PricebookEntryId","Product2Id","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
0000b5f3-b0ca-4666-a142-4ae38882b7b7,"#N/A",1c46bd9f-1c0a-4362-bd57-09f2df3dc652,6d87fea4-d26f-4c2e-ade1-80197e8c8878,084166b8-27f8-4be0-a013-5c550a484943,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
002cb31e-75ae-49a4-813c-6e332ce19347,"#N/A",4adcd006-8245-499c-a466-a317fb0a3c3b,8f9d856d-ca97-496d-b828-d9eabf9d2701,f2f1369e-47d4-4c77-b723-8640a9023114,12.0,"#N/A","#N/A","#N/A","#N/A","#N/A",600.0,50.0,"#N/A"
002f8008-4840-44f8-9b5d-cee6b6a51c71,"#N/A",e1fd7ee4-8271-4e50-8649-00fa0b4fb9b3,6d87fea4-d26f-4c2e-ade1-80197e8c8878,084166b8-27f8-4be0-a013-5c550a484943,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
0059cc47-0ae0-4ff3-a9f1-f471b6f6a7fc,"#N/A",a4f2e1f5-168b-436f-b52e-6d484d714c03,c0d22f6a-d11a-4bfb-acd3-047857f70d6e,444b76a0-af25-4f3c-a352-c0f5f5ac9f5b,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
005d6422-73c2-4042-9056-9c6434b2511a,"#N/A",9cb436e6-7024-4cd0-b75d-6bc33f91f87d,c0d22f6a-d11a-4bfb-acd3-047857f70d6e,444b76a0-af25-4f3c-a352-c0f5f5ac9f5b,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
005f373e-b0ff-41e9-a0ab-049e60f8d68e,"#N/A",00aeae71-03ba-4307-a653-839972556cde,0d8b86ea-c61e-4184-9554-71c496b14be7,5b7aa557-a3dc-4af2-96e9-373989293bfc,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",7500.0,7500.0,"#N/A"
00717fd4-cc75-4fba-a627-141d76adf1f7,"#N/A",872c2b1d-77ef-4577-8cba-a9b20a73a45f,6133fcbe-2e62-4f9a-9749-c9e96fcf562d,41b340a9-1fff-4169-93ac-69bfcefb2288,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",6750.0,450.0,"#N/A"
00851fed-75a7-42e0-9dca-a0dc927f3944,"#N/A",4056d1fb-4f3e-47d4-b194-3250848f1e40,6133fcbe-2e62-4f9a-9749-c9e96fcf562d,41b340a9-1fff-4169-93ac-69bfcefb2288,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",450.0,450.0,"#N/A"
008c599b-2c87-4534-b748-b73a9e438550,"#N/A",25692084-900f-466e-b5df-b558f5957daf,c0d22f6a-d11a-4bfb-acd3-047857f70d6e,444b76a0-af25-4f3c-a352-c0f5f5ac9f5b,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
009aba2b-9c0a-4f7b-92a4-e21d01c5661b,"#N/A",4f2650fe-8322-44c0-8fc8-6a5eba66d485,b8a5248d-6b98-4fc4-b00b-398bb6f05775,7a726db4-30af-4f97-9375-418552312f1e,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,160.0,"#N/A"
